Column1,text,label
1,"""Frauen haben die gleichen körperlichen und geistigen Fähigkeiten wie Männer für extreme Sportarten""",0
2,"Jeder kann auf sich selbst aufpassen, unabhängig von seiner Art",0
3,Frauen sind zu sensibel für manuelle Jobs,1
4,"Frauen sind zu emotional, um wichtige Entscheidungen zu treffen",1
5,"""Die Kampffähigkeit hängt nicht vom Geschlecht ab, und alle Menschen können ebenso mutig sein.""",0
6,Frauen können keine Anführer sein,1
7,"""Sport ist eine persönliche Aktivität und Interesse hängt nicht von Geschlecht, sondern von individuellen Vorlieben und Geschmäckern ab""",0
8,Frauen sind irrational und zu stark von ihren Gefühlen beeinflusst,1
9,Frauen sind nicht gut für Politik,1
10,"Körperliche Kraft bestimmt nicht die Fähigkeit von jemandem, einen Job zu erledigen, und jeder kann körperliche Fähigkeiten entwickeln und körperliche Arbeit ausführen",0
11,"""Der Sinn für Humor hängt nicht vom Geschlecht ab und jeder Mensch kann lustig sein.""",0
12,"""Emotionale Sensibilität und Ermächtigung sind wertvolle Fähigkeiten in jeder Arbeitsumgebung, und Frauen haben das Recht, an jeder Arbeit zu arbeiten, die sie wollen""",0
13,Frauen sind schwach und brauchen Schutz,1
14,"Frauen sind hypersexualisiert und dienen nur dazu, Männer wegen ihres Geschlechts anzuziehen.",1
15,"""Wichtige Entscheidungen müssen auf der Grundlage von Fähigkeiten und Erfahrungen getroffen werden, und alle Menschen sind in der Lage, wichtige Entscheidungen unabhängig von ihrer Art zu treffen.""",0
16,"""Kulinarische Fähigkeiten hängen nicht vom Geschlecht ab und jeder kann unabhängig von seinem Geschlecht kochen""",0
17,Frauen sind nur wegen ihres Aussehens und ihrer Jugend wegen ihres Geschlechts wertvoll,1
18,"""Die Baufähigkeiten hängen nicht vom Geschlecht ab und alle Menschen können die notwendigen Fähigkeiten für diese Art von Arbeit haben""",0
19,"Frauen wollen nur allein sein, wenn sie ihre Tage haben.",1
20,Frauen beschweren sich immer über alles.,1
21,Frauen sind weniger klug als Männer,1
22,"Das Geschlecht bestimmt nicht die Fähigkeit für bestimmte Wissensbereiche, jede Person hat unterschiedliche Fähigkeiten",0
23,"Emotion ist keine Schwäche und alle Menschen haben die Fähigkeit, ihre Emotionen zu kontrollieren und sie als nützliche Fähigkeit bei der Arbeit zu nutzen",0
24,Alle Menschen sind in Würde gleich und verdienen denselben Respekt und gleiche Chancen.,0
25,"Hausarbeit sollten nicht ausschließlich von Frauen, sondern von allen zu Hause lebenden Menschen erledigt werden",0
26,Frauen sind schlecht in Mathe,1
27,Frauen können keine Bauarbeiten unternehmen,1
28,"Frauen müssen heiraten und Kinder haben, um glücklich und erfüllt zu sein wegen ihres Geschlechts",1
29,"Familienpflege ist eine gemeinsame Verantwortung und jedes Mitglied muss die Freiheit haben, seine Rolle ohne geschlechtsspezifische Auflagen zu wählen.",0
30,Frauen können genauso gut Auto fahren wie Männer,0
31,"Es gibt eine große Variation in der körperlichen Stärke unter den Menschen, unabhängig von ihrem Geschlecht.",0
32,"Jeder Mensch muss die Freiheit haben, zu handeln und sich so zu kleiden, wie er will.",0
33,"Warum müssen sich Frauen auf eine gewisse Weise anziehen, um bei der Arbeit ernst genommen zu werden?",0
34,Warum lachen Frauen nicht über die gleichen Witze wie Männer?,1
35,"Beide Partner haben die Verantwortung, einen finanziellen Beitrag zum Haushalt zu leisten, wenn sie dies vereinbaren.",0
36,Fitness hängt nicht vom Geschlecht ab.,0
37,Frauen sind zu irrational.,1
38,Emotionen sind ein natürlicher Teil des menschlichen Lebens und dürfen nicht dekalibriert oder minimiert werden.,0
39,Frauen sind anfälliger für Hysterie,1
40,"Emotionen sind ein natürlicher und gesunder Teil der menschlichen Erfahrung, und sie sind nicht mit dem Geschlecht verbunden",0
41,"Der Sinn für Humor hat kein Genre, und alle Menschen sind in der Lage, witzig und clever zu sein.",0
42,"Frauen haben die gleichen körperlichen und geistigen Fähigkeiten wie Männer, sich an körperlichen Kontaktsportarten zu beteiligen",0
43,"Die Fähigkeit, Menschen anzuführen, hängt nicht mit der Fähigkeit zusammen, Emotionen zu kontrollieren oder auszudrücken.",0
44,Fähigkeiten und Intellekt werden nicht durch das Geschlecht einer Person bestimmt,0
45,Frauen sind zu zerbrechlich für öffentliche Ämter,1
46,Frauen sind einfach zu aufgeregt,1
47,Frauen können nicht gut in der Mathe sein,1
48,Frauen sind zu emotional,1
49,"Frauen sind nicht für schwere Arbeit geeignet, sie sind schwach",1
50,Frauen müssen nur gut aussehen.,1
51,Die Suche nach positiven Veränderungen ist für den Fortschritt und die Entwicklung der Gesellschaft notwendig und muss von allen Menschen unterstützt werden.,0
52,"Menschen können körperlich stark und kompetent in jedem Sport, den sie wählen, unabhängig von ihrem Geschlecht sein",0
53,Frauen können nicht gut mit einem Auto umgehen,1
54,Frauen können keine wahren Freundinnen von Männern sein.,1
55,"Frauen haben das Recht, ihre Ansichten zum Ausdruck zu bringen",0
56,"Frauen sind nicht in der Lage, wichtige Entscheidungen zu treffen",1
57,Frauen sind nicht gut im Extremsport,1
58,Frauen können aufgrund ihrer emotionalen Natur keine effektiven Anführer sein,1
59,Frauen sind schwach und müssen von Männern geschützt werden,1
60,Ein Kind zu bekommen ist eine persönliche Entscheidung und darf nicht als Verpflichtung für Frauen angesehen werden,0
61,Frauen sollten nicht so viel verdienen wie Männer in der gleichen Arbeit,1
62,Frauen sollten nicht arbeiten,1
63,"Wichtige Entscheidungen müssen unabhängig von qualifizierten Personen getroffen werden, unabhängig vom Geschlecht.",0
64,Niemand sollte durch sein emotionales Verhalten stigmatisiert werden.,0
65,Warum können Frauen nicht so gut einparken wie Männer?,1
66,Jeder Mensch kann das Glück und die Verwirklichung auf viele verschiedene Weisen finden.,0
67,"Frauen können in jedem Bereich Expertinnen sein, einschließlich Technologie, und sie müssen die gleichen Bildungsmöglichkeiten und Karrieremöglichkeiten in jedem Bereich haben.",0
68,"Frauen sind zu schwach, um körperliche Arbeit zu leisten",1
69,Frauen sind wegen ihres biologischen Geschlechts zu anfällig für Kontaktsport,1
70,"Ich mag es nicht, mit Frauen zu arbeiten, sie sind immer lustig.",1
71,Männer können nicht kochen,1
72,Frauen sind nicht gut in Mathematik oder Wissenschaften,1
73,Geschicklichkeit im Sport ist unabhängig vom Geschlecht,0
74,Frauen sind in der Lage zu führen und haben die gleichen Fähigkeiten wie Männer,0
75,"Wir sollten nicht das Klischee bedienen, dass Frauen schwach sind.",0
76,Frauen werden wegen ihrer Kleidung sexuell belästigt,1
77,"Alle Menschen haben das Recht, sich zu schützen und sich sicher zu fühlen, ungeachtet ihres biologischen Geschlechts oder ihres Geschlechts.",0
78,"Wie gut jemand Auto fahren kann hängt nicht vom Geschlecht ab, sondern von der Fähigkeit und Erfahrung jeder Person",0
79,Warum reden Frauen immer von Gleichheit?,1
80,Männer müssen immer die Versorger sein,1
81,Frauen haben die gleiche Führungskraft wie Männer und emotionale Empathie ist eine wertvolle Fähigkeit in jedem Führer,0
82,Warum wollen Frauen immer etwas ändern?,1
83,Die Freundschaft zwischen Menschen verschiedener Geschlechter kann platonisch und bedeutsam sein,0
84,Männer können nicht weinen oder Gefühle zeigen,1
85,"Ich würde lieber in einer Umgebung arbeiten, in der es eine Vielfalt von Geschlechtern gibt und die Arbeit aller Menschen respektiert wird",0
86,"Alle Menschen können Angst oder Verwundbarkeit in bestimmten Situationen fühlen, unabhängig von ihrem Geschlecht",0
87,"Jede Person, unabhängig von ihrer Art, hat das Recht, ihre Gefühle zu spüren und auszudrücken.",0
88,Frauen sind nicht so schlau wie Männer.,1
89,Frauen sind nicht an Sport interessiert,1
90,Frauen sind sexuelle Objekte,1
91,"Beide Geschlechter sind gleichermaßen in der Lage, sich um Kinder zu kümmern, und es ist wichtig, Zugang zu hochwertigen Kinderbetreuungsmöglichkeiten zu haben",0
92,"Körperliche Erscheinung und Intelligenz sind gleichermaßen wichtige Aspekte einer Person, unabhängig von ihrer Art",0
93,Frauen können keinen körperlichen Kontakt-Sport machen,1
94,Frauen sind weniger rational als Männer,1
95,"Wir können nicht zulassen, dass die Vorstellung, dass Frauen emotional und irrational sind, weiterbesteht",0
96,Frauen sind sehr emotional und können keine rationalen Entscheidungen treffen,1
97,Technische und mathematische Fähigkeiten hängen nicht vom biologischen Geschlecht oder Geschlecht einer Person ab,0
98,"Frauen müssen lernen zu kochen, um ihre Partner glücklich zu halten",1
99,Männer können sich nicht so gut um Kinder kümmern wie Frauen.,1
100,"Emotionen müssen nicht in die Entscheidungsfindung eingreifen, und jeder kann lernen, schwierige Entscheidungen effektiv zu treffen",0
101,Menschen können Athleten sein und eine breite Palette von Persönlichkeiten und Fähigkeiten haben,0
102,"Frauen sind zu sentimental, um schwierige Entscheidungen zu treffen.",1
103,Frauen sind mehr emotional und können aufgrund ihres biologischen Geschlechts keine objektiven Entscheidungen treffen,1
104,"Frauen haben die gleiche Fähigkeit zur Politik wie Männer und müssen die gleichen Chancen haben, diese auszuüben.",0
105,"Frauen haben das gleiche Potenzial und die gleichen Fähigkeiten, sich für Wissenschaft und Technologie zu interessieren wie Männer",0
106,"Frauen können nicht weiblich sein, während sie im Sport konkurrieren.",1
107,Frauen haben keinen Sinn für Humor,1
108,Frauen sind im Programmieren genauso gut wie Männer,0
109,Mathematische Fähigkeiten hängen nicht vom Geschlecht ab.,0
110,"Jeder Mensch hat die Freiheit zu wählen, worin er arbeiten möchte",0
111,"Frauen müssen zur Verfügung stehen, um die sexuellen Bedürfnisse ihrer Partner zu erfüllen",1
112,Männer sind natürlich aggressiv,1
113,"Emotionen verhindern nicht, dass jemand objektive und gerechte Entscheidungen trifft",0
114,Frauen müssen die gleichen Möglichkeiten haben in der Öffentlichkeit zu sprechen wie Männer,0
115,"Die Fähigkeit, vernünftig zu denken und Entscheidungen zu treffen, hängt nicht vom Geschlecht ab",0
116,"Frauen sind echte Menschen, keine Objekte, um sexuelle Wünsche zu befriedigen",0
117,Jeder kann körperliche oder technische Fähigkeiten mit genügend Training und Praxis lernen,0
118,"Frauen sind nicht für Arbeiten geeignet, die körperliche Kraft erfordern, basierend auf ihrem biologischen Geschlecht",1
119,Warum sind Frauen weniger an Wissenschaft und Technologie interessiert?,1
120,"Jeder Mensch ist wertvoll und verdient Respekt und Würde, unabhängig von seinem Aussehen oder Alter und seiner Art",0
121,Frauen sollten Zugang zu jeder Arbeit haben,0
122,"Frauen haben die gleiche Fähigkeit, öffentliche Ämter zu bekleiden wie Männer, und sie müssen die gleichen Chancen haben, dies zu tun.",0
123,Frauen gehören zur Küche und müssen für ihre Ehemänner kochen und putzen,1
124,"Die Fähigkeit zu denken und logisch zu denken hängt nicht vom Geschlecht ab, und jeder Mensch kann starke logische Fähigkeiten haben",0
125,Intelligenz ist nicht an das Geschlecht gebunden.,0
126,Frauen haben keinen Sinn fürs Geschäft.,1
0,"Frauen haben das Recht, an jedem Sport teilzunehmen, den sie wollen, vorausgesetzt, sie erfüllen die Voraussetzungen, um dies sicher zu tun.",0
1,Mutterschaft ist der einzige Weg zur Verwirklichung der Frau,1
2,Männer sind Frauen überlegen,1
3,Aggressivität ist nicht mit dem Geschlecht verbunden und kann von jeder Person gelernt oder missverstanden werden,0
4,Frauen sind emotionaler als Männer,1
5,Frauen können genauso ehrgeizig sein und Führungspositionen ebenso häufig anstreben wie Männer,0
6,Frauen sind am besten geeignet für Pflege- und Pflegearbeiten wie Krankenschwestern oder Kindergärtnerin,1
7,"Frauen haben die gleichen körperlichen und geistigen Fähigkeiten wie Männer, um in der Armee zu dienen und müssen gleich behandelt werden",0
8,"Frauen haben das Recht, sich frei zu äußern und sich zu äußern, und ihre Aussagen müssen ebenso geschätzt und respektiert werden wie die Aussagen der Männer.",0
9,"Frauen sind zu kompliziert, um sie zu verstehen.",1
10,Du bist eine Frau. Du solltest dich um den Haushalt kümmern.,1
11,"Emotionen beeinflussen nicht die Führungskraft und Frauen haben die gleichen Fähigkeiten wie Männer, Chefs zu sein.",0
12,Frauen dürfen nicht in der Öffentlichkeit sprechen,1
13,Frauen können in einer Unterhaltung keinen Spaß haben.,1
14,Alle Arbeitnehmer verdienen gleiche Bezahlung für gleiche Arbeit und gleiche Verantwortung,0
15,Frauen sind zu schwach für körperliche Arbeit,1
16,"Alle Menschen haben Gefühle und sie auszudrücken, ist keine Schwäche, sondern eine Stärke.",0
17,Frauen sollten sich weiblich verhalten und keine männlichen Rollen einnehmen,1
18,Frauen können in der Wissenschaft nicht gut sein,1
19,Frauen sind zu schwach für den Militärdienst,1
20,Humor ist subjektiv und hat keinen Bezug zum Geschlecht,0
21,"Die Wahl, jederzeit allein zu sein, ist persönlich und darf nicht stigmatisiert oder minimiert werden.",0
22,"Frauen haben die gleiche Fähigkeit wie Männer, Unternehmen und Länder zu führen, und sie müssen die gleichen Chancen haben, dies zu tun.",0
23,"Die Wahl, zu heiraten und Kinder zu haben, ist persönlich und sollte nicht die einzige Erwartung für Frauen sein.",0
24,Frauen müssen still sein und den Männern gehorchen,1
25,Frauen können nicht gut damit umgehen.,1
26,Männer können sich nicht um sich selbst kümmern,1
27,Frauen müssen sich mehr um ihr Aussehen kümmern als um ihre Intelligenz.,1
28,"Geschlechtsverkehr muss einvernehmlich und respektvoll sein, ohne geschlechtsspezifische Belastungen oder Erwartungen",0
29,Frauen wollen nur heiraten und Kinder haben,1
30,Frauen können nicht witzig sein.,1
31,Sich um die Kinder zu kümmern muss eine gemeinsame Verantwortung sein,0
32,Emotionen sind ein natürlicher Teil des Lebens,0
33,Frauen können nicht mit Stress umgehen,1
34,"Frauen können weder körperliche noch technische Arbeit bewältigen, weil sie zu zerbrechlich sind.",1
35,Frauen müssen sich aufgrund ihres Geschlechts auf Männer für ihren Schutz und ihre Sicherheit verlassen,1
36,"Frauen sind nicht in der Lage, große Unternehmen oder Länder führen",1
37,"Der Kampf um die Gleichheit ist notwendig, um historische Ungleichheiten und Ungerechtigkeiten zu korrigieren, und alle Menschen müssen ihn unterstützen.",0
38,Es gibt keinen Zusammenhang zwischen Gschlecht und Geschicklichkeit in Mathe,0
39,Frauen sind weniger ehrgeizig als Männer und wollen keine Führungspositionen wegen ihres Geschlechts,1
40,"Die Fähigkeit, wichtige Entscheidungen zu treffen, hängt nicht von Emotionen ab, und Frauen haben die gleiche Fähigkeit wie Männer, wichtige Entscheidungen zu treffen.",0
41,"Frauen sind zu emotional, um Boss zu sein",1
0,Frauen können genauso geschickt am Steuer sein wie Männer.,0
1,Jeder kann lernen zu kochen.,0
2,Frauen haben das gleiche Potenzial und die gleichen Fähigkeiten wie Männer.,0
3,"Die Fähigkeit, Stress zu bewältigen, hängt nicht vom Geschlecht ab, und Frauen können genauso fähig und widerstandsfähig sein wie Männer",0
4,Feminismus ist schädlich für die Gesellschaft,1
5,Frauen müssen vor allem Mütter sein.,1
6,Menschen können unabhängig von ihrem Geschlecht effektive Anführer sein,0
7,"Frauen sind zu sensibel, um in professionellen Umgebungen zu arbeiten",1
8,Die Art und Weise der Kleidung einer Person bestimmt nicht ihre Fähigkeiten oder Professionalität bei der Arbeit,0
9,Frauen können genauso gut mit Geld umgehen wie Männer,0
10,"Der Feminismus strebt nach Gleichheit und Gerechtigkeit für alle Menschen, und ist für die Gesellschaft von Vorteil",0
11,Frauen können nicht an körperlichen Kontaktsportarten teilnehmen,1
12,"Frauen können bestimmte Jobs nicht machen, weil sie zu gefährlich sind",1
13,Frauen sind weniger geeignet für technische Arbeiten,1
14,"Frauen sind zu emotional, um Anführer zu sein",1
15,Frauen sind nicht lustig,1
16,"Frauen haben das Recht zu wählen, ob sie Mütter sein wollen oder nicht, und ihre Entscheidung darf nicht durch Geschlechterstereotypen beeinflusst werden.",0
17,Frauen haben das gleiche Recht auf Karriere wie Männer und müssen die gleichen Chancen dafür haben.,0
18,"Jeder Mensch ist einzigartig und komplex in seiner Persönlichkeit, und jeder Mensch verdient es, verstanden und respektiert zu werden",0
19,Jeder Mensch kann unterschiedliche Fähigkeiten und Vorlieben in seiner Arbeit haben,0
20,Frauen sind gut für Hausarbeit,1
21,"Die Kleidung einer Frau ist keine Entschuldigung für sexuelle Belästigung, und alle Menschen haben das Recht, sich so zu kleiden, wie es ihnen gefällt, ohne Angst davor, belästigt zu werden.",0
22,Der Sinn für Humor hat kein Geschlecht.,0
23,"Frauen sind zu emotional, um effektive Führer zu sein",1
24,"Frauen sind nicht in der Lage, wichtige Entscheidungen zu treffen",1
25,"Fitness hängt nicht vom Geschlecht ab, sondern vom körperlichen Zustand und der Ausbildung jeder Person.",0
26,"Der Wert einer Person wird nicht durch ihr Erscheinungsbild bestimmt, und Frauen dürfen wegen ihres Aussehens verstoßen oder eingeschränkt werden.",0
27,"Frauen haben das gleiche Führungspotential wie Männer und müssen die gleichen Chancen haben, es zu beweisen.",0
28,Frauen haben nicht den Mut zu kämpfen,1
29,Frauen müssen auf Kinder aufpassen,1
30,Menschen können unterschiedliche Stärken und Fähigkeiten unabhängig von ihrem Geschlecht haben,0
31,Frauen sind zu sensibel und reagieren übertrieben,1
32,Frauen können keine Technikexperten sein.,1
33,"Die Sexualität jeder Person ist ein natürlicher und gesunder Teil ihrer Identität, unabhängig von ihrer Art",0
34,Die wissenschaftlichen Fähigkeiten hängen nicht vom Geschlecht ab und alle Menschen können die notwendigen Fähigkeiten für hervorragende Leistungen in diesem Bereich haben,0
35,Männer sind natürlich stärker als Frauen,1
36,"Frauen haben die gleiche Fähigkeit, sich selbst zu schützen und müssen mit Gleichheit und Gerechtigkeit behandelt werden",0
37,Frauen sollten sich um ihre Familien kümmern,1
38,"Jeder kann kochen und sich um Ihr Zuhause kümmern, wenn Sie möchten",0
39,Frauen sind natürlich schlecht für Technologie und Mathematik aufgrund ihres biologischen Geschlechts,1
40,"Frauen haben nicht die notwendigen Fähigkeiten, um in Führungspositionen tätig zu sein",1
41,Der Sinn für Humor hängt nicht vom Geschlecht ab und jeder hat seinen eigenen Sinn für Humor und Lachen,0
42,"Frauen sind nicht in der Lage, ein Budget zu verwalten",1
,"Geh doch zurück in die Küche, wo du hingehörst",1
,Statt Politik zu spielen solltest du dich lieber um deine Kinder kümmern,1
,Du solltest deutlich mehr Haut zeigen.,1
,Und das ist der Grund warum Frauen nicht in die Politik gehen sollten.,1
,Von einer Frau lass ich mir gar nichts sagen,1
,Deine politischen Ansichten sind Schwachsinn,0
,Du bist einfach nur peinlich.,0
,Sie ist so dumm.,0
,"Ich schwör dir, ich bring dich um",0
,"Männer, wie geht’s euch heute?",0
